Time;Item;Looter;GP Action;ID
2020-07-12 19:48:10;[Bloodfang Bracers];Gnomling;Mainspec GP;16911
2020-07-12 19:52:29;[Belt of Transcendence];Arlis;Bank-D/E;16925
2020-07-12 19:53:11;[Helm of Endless Rage];Tasêrfacê;Offspec GP;19372
2020-07-12 19:53:44;[Bloodfang Belt];Gnomling;Mainspec GP;16910
2020-07-12 20:10:26;[Heartstriker];Pitscher;Offspec GP;19350
2020-07-12 20:10:38;[Nemesis Boots];Avón;Bank-D/E;16927
2020-07-12 20:10:46;[Nemesis Boots];Arlis;Bank-D/E;16927
2020-07-12 20:25:08;[Judgement Gauntlets];Trezôr;Offspec GP;16956
2020-07-12 20:25:58;[Claw of the Black Drake];Pitscher;Offspec GP;19365
2020-07-12 20:32:32;[Band of Dark Dominion];Wongson;Offspec GP;19434
2020-07-12 20:34:02;[Band of Dark Dominion];Bombalgir;Offspec GP;19434
2020-07-12 20:46:40;[Handguards of Transcendence];Bombalgir;Mainspec GP;16920
2020-07-12 20:47:17;[Aegis of Preservation];Bombalgir;Offspec GP;19345
2020-07-12 20:49:26;[Taut Dragonhide Belt];Arlis;Bank-D/E;19396
2020-07-12 20:50:40;[Circle of Applied Force];Nadila;Offspec GP;19432
2020-07-12 20:52:34;[Interlaced Shadow Jerkin];Chokeon;Offspec GP;19439
2020-07-12 20:59:23;[Chromatically Tempered Sword];Chokeon;Mainspec GP;19352
2020-07-12 20:59:33;[Stormrage Pauldrons];Arlis;Bank-D/E;16902
2020-07-12 20:59:47;[Pauldrons of Transcendence];Radogan;Mainspec GP;16924
2020-07-12 21:00:05;[Taut Dragonhide Gloves];Arlis;Bank-D/E;19390
2020-07-12 21:12:45;[Robes of Transcendence];Newk;Mainspec GP;16923
2020-07-12 21:12:54;[Judgement Breastplate];Gnomling;Bank-D/E;16958
2020-07-12 21:12:57;[Mish'undare, Circlet of the Mind Flayer];Gnomling;Bank-D/E;19375
2020-07-12 21:13:01;[Therazane's Link];Gnomling;Bank-D/E;19380
2020-07-12 21:13:04;[Head of Nefarian];Gnomling;Bank-D/E;19002
2020-07-12 21:37:57;[Lawbringer Boots];Trezôr;Bank-D/E;16859
2020-07-26 20:13:47;[Maladath, Runed Blade of the Black Flight];Tamu;Mainspec GP;19351
2020-07-26 20:14:34;[Dragonstalker's Greaves];Rhyper;Mainspec GP;16941
2020-07-26 20:15:18;[Sabatons of Wrath];Pitscher;Offspec GP;16965
2020-07-26 20:35:46;[Claw of the Black Drake];Tasêrfacê;Offspec GP;19365
2020-07-26 20:35:59;[Stormrage Handguards];Maro;Bank-D/E;16899
2020-07-26 20:42:13;[Essence Gatherer];Sorci;Offspec GP;19435
2020-07-26 21:02:59;[Nemesis Gloves];Maro;Bank-D/E;16928
2020-07-26 21:03:15;[Ebony Flame Gloves];Maro;Bank-D/E;19407
2020-07-26 21:05:48;[Netherwind Gloves];Sorci;Mainspec GP;16913
2020-07-26 21:06:15;[Circle of Applied Force];Zann;Offspec GP;19432
2020-07-26 21:16:02;[Dragonstalker's Spaulders];Choult;Offspec GP;16937
2020-07-26 21:16:09;[Dragonstalker's Spaulders];Maro;Bank-D/E;16937
2020-07-26 21:16:39;[Empowered Leggings];Trezôr;Mainspec GP;19385
2020-07-26 21:16:53;[Shimmering Geta];Maro;Bank-D/E;19391
2020-07-26 21:26:45;[Mish'undare, Circlet of the Mind Flayer];Belesh;Mainspec GP;19375
2020-07-26 21:27:27;[Judgement Breastplate];Trezôr;Offspec GP;16958
